cycle_type,total_heat_load,breeder_heat_load,divertor_heat_load,wall_heat_load,thermal_efficiency_cycle,thermal_efficiency_plant
brayton,1.0985277619674985e8,0.64,0.1,0.9,0.2841091215335221,0.6884466504183555
rankine,1.4735393118656895e8,0.64,0.1,0.9,0.45908043908186025,0.2801324478564202
brayton,1.4735393118656895e8,0.64,0.1,0.9,0.30009015026372166,0.44514201957749366
rankine,1.9765709878143796e8,0.64,0.1,0.9,0.46298014579285385,0.28050526041551815
brayton,1.9765709878143796e8,0.64,0.1,0.9,0.29318796340219044,0.5100777682792357
rankine,2.651325850901773e8,0.64,0.1,0.9,0.39443927248659383,0.2623345657386137
brayton,2.651325850901773e8,0.64,0.1,0.9,0.2991900824145468,0.45124753300265696
rankine,3.556426159746977e8,0.64,0.1,0.9,0.3941448488213636,0.28889053712927926
brayton,3.556426159746977e8,0.64,0.1,0.9,0.30608671355796424,0.40427093291644045
rankine,4.7705064337643623e8,0.64,0.1,0.9,0.39403957261397005,0.2887632956486138
brayton,4.7705064337643623e8,0.64,0.1,0.9,0.33011953493528845,0.351899855088874
rankine,6.399045168480675e8,0.64,0.1,0.9,0.4621244794869973,0.2919082694707764
brayton,6.399045168480675e8,0.64,0.1,0.9,0.3294046754582064,0.35111746947580247
rankine,8.58352873783763e8,0.64,0.1,0.9,0.46561960352066245,0.2983383078546561
brayton,8.58352873783763e8,0.64,0.1,0.9,0.3434786566062932,0.31551588034464984
rankine,1.1513743637283602e9,0.64,0.1,0.9,0.46569217108253613,0.2981759646622778
brayton,1.1513743637283602e9,0.64,0.1,0.9,0.33804359630953384,0.3285007750321225
rankine,1.5444265009647338e9,0.64,0.1,0.9,0.4655665530977512,0.29858736691005616
brayton,1.5444265009647338e9,0.64,0.1,0.9,0.3555742941295921,0.2809836774068972
rankine,2.0716573966075604e9,0.64,0.1,0.9,0.4633796500642121,0.29500569166963786
brayton,2.0716573966075604e9,0.64,0.1,0.9,0.35788367953466305,0.2774208818620334
rankine,2.7788725240326695e9,0.64,0.1,0.9,0.46503318947766104,0.21642227879238196
brayton,2.7788725240326695e9,0.64,0.1,0.9,0.3665572317395883,0.25569724029829355
rankine,3.72751426827092e9,0.64,0.1,0.9,0.46514871468506924,0.16024372793649688
brayton,3.72751426827092e9,0.64,0.1,0.9,0.3667710090113917,0.18979204344033318
rankine,4.999999999999999e9,0.64,0.1,0.9,0.46518679586956235,0.11847723902131979
brayton,4.999999999999999e9,0.64,0.1,0.9,0.36694970397777427,0.14024892166247938
rankine,1.0e6,0.675,0.1,0.9,0.34559222625968966,-0.23346012258715554
brayton,1.0e6,0.675,0.1,0.9,0.2700654284739087,-40.80669547643489
rankine,1.3413764884981478e6,0.675,0.1,0.9,0.3478162528759138,-0.09566159262960983
brayton,1.3413764884981478e6,0.675,0.1,0.9,0.270116501194275,-29.993151955426264
